game title,link,date released,game cover,price
Street Fighter™ 6,https://store.steampowered.com/app/1364780/Street_Fighter_6/?snr=1_7_7_7000_150_1,"1 Jun, 2023",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1364780/capsule_sm_120.jpg?t=1724735913,-50%Rp 830 999Rp 415 499
God of War,https://store.steampowered.com/app/1593500/God_of_War/?snr=1_7_7_7000_150_1,"14 Jan, 2022",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1593500/capsule_sm_120.jpg?t=1726257295,-60%Rp 729 000Rp 291 600
Call of Duty®: Black Ops III,https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III/?snr=1_7_7_7000_150_1,"5 Nov, 2015",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/311210/capsule_sm_120.jpg?t=1646763462,-67%Rp 891 000Rp 294 030
The Last of Us™ Part I,https://store.steampowered.com/app/1888930/The_Last_of_Us_Part_I/?snr=1_7_7_7000_150_1,"28 Mar, 2023",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1888930/capsule_sm_120.jpg?t=1726095133,-40%Rp 879 000Rp 527 400
Tom Clancy's Rainbow Six® Siege,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_7000_150_1,"1 Dec, 2015",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/359550/capsule_sm_120.jpg?t=1719504498,-60%Rp 229 000Rp 91 600
Baldur's Gate 3,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_7000_150_1,"3 Aug, 2023",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1086940/capsule_sm_120.jpg?t=1725654125,Rp 699 999
DRAGON BALL: Sparking! ZERO,https://store.steampowered.com/app/1790600/DRAGON_BALL_Sparking_ZERO/?snr=1_7_7_7000_150_1,"10 Oct, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1790600/capsule_sm_120.jpg?t=1724754445,Rp 699 000
Microsoft Flight Simulator 40th Anniversary Edition,https://store.steampowered.com/app/1250410/Microsoft_Flight_Simulator_40th_Anniversary_Edition/?snr=1_7_7_7000_150_1,"17 Aug, 2020",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1250410/capsule_sm_120.jpg?t=1714143624,-50%Rp 790 000Rp 395 000
War Thunder,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_1,"15 Aug, 2013",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/236390/17ee5af8d9da90216072a2a274d090b520ff8325/capsule_sm_120.jpg?t=1726558105,Free
Warframe,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_7000_150_1,"25 Mar, 2013",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/230410/capsule_sm_120.jpg?t=1725378067,Free
